id,count,isConnected,edge,vertex1,vertex2,vertex3,vertex4,vertex5,vertex6
68,5,TRUE,5,205,50,176,47,,
78,1,TRUE,5,126,88,303,289,,
96,8,TRUE,5,1,6,112,304,,
99,4,TRUE,5,48,219,149,142,,
103,2,TRUE,5,259,220,8,277,,
106,1,TRUE,5,26,161,348,302,,
107,2,TRUE,5,249,165,48,206,,
108,6,TRUE,5,30,238,260,1,,
133,6,TRUE,5,43,227,357,194,,
134,3,TRUE,5,220,152,297,53,,
137,3,TRUE,5,176,176,160,53,,
143,2,TRUE,5,10,213,79,266,,
147,3,TRUE,5,117,54,159,309,,
151,2,TRUE,5,31,353,191,345,,
170,4,TRUE,5,344,198,291,288,,
172,1,TRUE,5,339,147,256,30,,
178,5,TRUE,5,287,144,265,295,,
182,2,TRUE,5,175,328,67,153,,
184,5,TRUE,5,68,316,231,88,,
192,3,TRUE,5,143,262,64,95,,
197,4,TRUE,5,320,236,312,234,,
199,0,TRUE,5,343,16,349,310,,
202,1,TRUE,5,174,271,166,205,,
213,3,TRUE,5,225,293,175,313,,
215,5,TRUE,5,99,293,234,331,,
222,7,TRUE,5,20,299,289,280,,
233,2,TRUE,5,353,133,86,44,,
239,5,TRUE,5,146,197,317,253,,
240,5,TRUE,5,20,359,316,43,,
244,2,TRUE,5,6,161,190,239,,
247,1,TRUE,5,25,275,14,50,,
257,4,TRUE,5,350,114,165,172,,
260,5,TRUE,5,339,93,270,196,,
263,2,TRUE,5,52,240,241,45,,
266,6,TRUE,5,224,322,132,10,,
279,1,TRUE,5,257,271,58,159,,
282,1,TRUE,5,56,48,228,347,,
284,5,TRUE,5,175,98,289,42,,
291,3,TRUE,5,91,38,284,312,,
295,3,TRUE,5,52,217,184,267,,
298,1,TRUE,5,285,338,185,305,,
301,1,TRUE,5,17,81,187,235,,
304,3,TRUE,5,188,338,27,248,,
308,4,TRUE,5,168,53,91,306,,
315,4,TRUE,5,45,7,119,196,,
333,1,TRUE,5,134,140,81,157,,
347,4,TRUE,5,200,60,229,36,,
359,6,TRUE,5,80,94,20,169,,
6,6,TRUE,6,271,315,195,77,314,
11,6,TRUE,6,326,84,208,21,187,
20,6,TRUE,6,178,297,9,287,303,
22,2,TRUE,6,154,128,13,292,356,
25,6,TRUE,6,228,179,285,303,180,
35,2,TRUE,6,244,34,257,166,61,
39,2,TRUE,6,70,96,296,280,197,
42,5,TRUE,6,144,109,76,205,293,
46,1,TRUE,6,91,276,178,201,233,
47,5,TRUE,6,305,215,29,240,157,
49,4,TRUE,6,227,238,98,64,116,
67,2,TRUE,6,261,61,243,209,107,
75,3,TRUE,6,119,140,308,358,264,
80,3,TRUE,6,72,208,58,330,215,
90,0,TRUE,6,193,17,130,82,321,
95,2,TRUE,6,8,9,194,146,328,
98,6,TRUE,6,297,15,283,186,268,
105,1,TRUE,6,7,148,265,44,217,
109,4,TRUE,6,148,318,262,337,0,
114,3,TRUE,6,166,9,150,299,37,
117,1,TRUE,6,198,136,296,35,354,
118,0,TRUE,6,109,164,238,275,192,
121,2,TRUE,6,74,309,66,144,9,
128,5,TRUE,6,183,169,25,219,71,
131,3,TRUE,6,178,257,283,281,176,
138,3,TRUE,6,322,222,293,249,4,
139,3,TRUE,6,41,276,116,273,171,
142,3,TRUE,6,179,163,227,337,2,
146,3,TRUE,6,47,348,58,96,73,
148,3,TRUE,6,179,102,217,18,52,
156,2,TRUE,6,0,287,79,262,296,
160,2,TRUE,6,332,168,174,80,268,
166,8,TRUE,6,188,28,285,97,184,
167,3,TRUE,6,182,130,1,137,49,
180,3,TRUE,6,348,188,32,344,161,
183,4,TRUE,6,277,18,325,164,195,
186,3,TRUE,6,247,237,4,171,193,
188,5,TRUE,6,314,351,321,7,226,
194,5,TRUE,6,162,138,281,92,40,
195,6,TRUE,6,209,284,111,277,103,
196,7,TRUE,6,353,316,296,95,256,
205,5,TRUE,6,255,209,224,73,125,
210,0,TRUE,6,342,302,147,349,15,
211,1,TRUE,6,7,313,313,254,173,
218,0,TRUE,6,198,188,325,208,325,
219,3,TRUE,6,160,299,128,94,18,
220,4,TRUE,6,36,34,328,166,35,
228,4,TRUE,6,249,206,194,76,326,
229,1,TRUE,6,195,241,337,166,216,
237,2,TRUE,6,14,253,284,167,221,
241,3,TRUE,6,68,234,134,63,242,
248,3,TRUE,6,73,30,259,112,329,
249,4,TRUE,6,61,189,316,166,281,
268,3,TRUE,6,288,71,306,359,304,
270,4,TRUE,6,71,25,216,109,281,
272,1,TRUE,6,53,201,142,126,203,
273,5,TRUE,6,312,236,11,244,272,
277,5,TRUE,6,356,13,55,22,342,
280,2,TRUE,6,282,234,281,213,74,
283,7,TRUE,6,302,0,336,359,92,
292,2,TRUE,6,130,190,246,164,63,
293,5,TRUE,6,124,21,216,47,72,
297,3,TRUE,6,110,12,286,61,321,
302,3,TRUE,6,6,46,54,16,298,
309,3,TRUE,6,61,332,311,94,74,
322,4,TRUE,6,190,61,205,354,195,
327,1,TRUE,6,278,181,43,240,262,
342,5,TRUE,6,187,97,214,91,30,
353,3,TRUE,6,42,49,156,356,121,
9,5,FALSE,6,178,130,343,32,339,
29,3,FALSE,6,206,185,6,308,16,
30,4,FALSE,6,129,214,108,80,228,
38,3,FALSE,6,248,289,116,271,185,
44,5,FALSE,6,340,333,27,292,70,
50,2,FALSE,6,168,183,166,0,175,
54,2,FALSE,6,176,11,20,157,305,
61,7,FALSE,6,0,318,341,33,110,
69,2,FALSE,6,200,294,289,151,196,
81,3,FALSE,6,275,153,42,152,208,
113,1,FALSE,6,228,17,296,340,57,
115,3,FALSE,6,28,209,98,147,127,
116,5,FALSE,6,18,288,291,180,310,
120,1,FALSE,6,198,127,116,68,131,
127,3,FALSE,6,184,34,287,308,176,
152,4,FALSE,6,291,52,184,201,84,
153,3,FALSE,6,126,303,253,158,107,
154,3,FALSE,6,11,186,185,21,8,
162,2,FALSE,6,357,152,62,201,230,
168,6,FALSE,6,62,358,57,88,139,
173,3,FALSE,6,290,69,108,285,222,
175,4,FALSE,6,29,315,202,264,103,
176,8,FALSE,6,308,213,128,239,323,
185,5,FALSE,6,203,263,273,93,322,
208,5,FALSE,6,204,62,193,355,348,
217,4,FALSE,6,262,109,180,96,149,
221,1,FALSE,6,336,37,48,188,131,
225,1,FALSE,6,254,53,133,208,92,
238,5,FALSE,6,200,255,239,255,96,
242,2,FALSE,6,246,64,307,11,93,
256,3,FALSE,6,234,322,27,113,278,
261,2,FALSE,6,237,13,239,269,204,
264,5,FALSE,6,348,114,133,131,108,
271,6,FALSE,6,115,64,260,12,105,
287,6,FALSE,6,270,286,305,343,273,
310,6,FALSE,6,183,123,348,77,266,
314,2,FALSE,6,13,66,215,56,249,
316,5,FALSE,6,70,86,68,70,144,
323,3,FALSE,6,246,277,234,144,101,
324,0,FALSE,6,16,338,342,91,68,
329,2,FALSE,6,273,340,342,315,144,
343,3,FALSE,6,310,111,129,11,265,
352,0,FALSE,6,275,154,354,255,88,
